title,authors,year,subject,cover_url,filename
Alice's Adventures in Wonderland,Lewis Carroll,1865,fantasy,http://covers.openlibrary.org/b/id/10527843-L.jpg,book_covers\0_Alice's_Adventures_in_Wonderland.jpg
The Wonderful Wizard of Oz,L. Frank Baum,1899,fantasy,http://covers.openlibrary.org/b/id/552443-L.jpg,book_covers\1_The_Wonderful_Wizard_of_Oz.jpg
Treasure Island,Robert Louis Stevenson,1880,fantasy,http://covers.openlibrary.org/b/id/13859660-L.jpg,book_covers\2_Treasure_Island.jpg
Gulliver's Travels,Jonathan Swift,1726,fantasy,http://covers.openlibrary.org/b/id/12717083-L.jpg,book_covers\3_Gulliver's_Travels.jpg
The Prince,Niccolò Machiavelli,1515,fantasy,http://covers.openlibrary.org/b/id/12726168-L.jpg,book_covers\4_The_Prince.jpg
Through the Looking-Glass,"Lewis Carroll, Lewis Carroll, Lewis Lewis Carroll",1865,fantasy,http://covers.openlibrary.org/b/id/11272464-L.jpg,book_covers\5_Through_the_Looking-Glass.jpg
Wind in the Willows,"Kenneth Grahame, Michael Hague, John Burningham, David Roberts, Oxford Editor, Guo man, Yang Ma, Ernest H. Shepard, Charles Van Sandwyk, Katie Dicker",1908,fantasy,http://covers.openlibrary.org/b/id/13335427-L.jpg,book_covers\6_Wind_in_the_Willows.jpg
Five Children and It,Edith Nesbit,1905,fantasy,http://covers.openlibrary.org/b/id/28174-L.jpg,book_covers\7_Five_Children_and_It.jpg
A Midsummer Night's Dream,William Shakespeare,1600,fantasy,http://covers.openlibrary.org/b/id/7205924-L.jpg,book_covers\8_A_Midsummer_Night's_Dream.jpg
The Lost World,Arthur Conan Doyle,1900,fantasy,http://covers.openlibrary.org/b/id/8231444-L.jpg,book_covers\9_The_Lost_World.jpg
The Marvelous Land of Oz,L. Frank Baum,1904,fantasy,http://covers.openlibrary.org/b/id/12648656-L.jpg,book_covers\10_The_Marvelous_Land_of_Oz.jpg
Ozma of Oz,L. Frank Baum,1907,fantasy,http://covers.openlibrary.org/b/id/12648657-L.jpg,book_covers\11_Ozma_of_Oz.jpg
The Emerald City of Oz,L. Frank Baum,1910,fantasy,http://covers.openlibrary.org/b/id/1473556-L.jpg,book_covers\12_The_Emerald_City_of_Oz.jpg
