title,authors,year,subject,cover_url,filename,doc_id,dominant_color,surrogate_text
Alice's Adventures in Wonderland,Lewis Carroll,1865,fantasy,http://covers.openlibrary.org/b/id/10527843-L.jpg,book_covers\0_Alice's_Adventures_in_Wonderland.jpg,0,"rgb(61, 11, 9)","Alice's Adventures in Wonderland Lewis Carroll fantasy 1865 rgb(61, 11, 9)"
The Wonderful Wizard of Oz,L. Frank Baum,1899,fantasy,http://covers.openlibrary.org/b/id/552443-L.jpg,book_covers\1_The_Wonderful_Wizard_of_Oz.jpg,1,"rgb(113, 130, 61)","The Wonderful Wizard of Oz L. Frank Baum fantasy 1899 rgb(113, 130, 61)"
Treasure Island,Robert Louis Stevenson,1880,fantasy,http://covers.openlibrary.org/b/id/13859660-L.jpg,book_covers\2_Treasure_Island.jpg,2,"rgb(143, 154, 153)","Treasure Island Robert Louis Stevenson fantasy 1880 rgb(143, 154, 153)"
Gulliver's Travels,Jonathan Swift,1726,fantasy,http://covers.openlibrary.org/b/id/12717083-L.jpg,book_covers\3_Gulliver's_Travels.jpg,3,"rgb(16, 14, 9)","Gulliver's Travels Jonathan Swift fantasy 1726 rgb(16, 14, 9)"
The Prince,Niccolò Machiavelli,1515,fantasy,http://covers.openlibrary.org/b/id/12726168-L.jpg,book_covers\4_The_Prince.jpg,4,"rgb(76, 43, 15)","The Prince Niccolò Machiavelli fantasy 1515 rgb(76, 43, 15)"
Through the Looking-Glass,"Lewis Carroll, Lewis Carroll, Lewis Lewis Carroll",1865,fantasy,http://covers.openlibrary.org/b/id/11272464-L.jpg,book_covers\5_Through_the_Looking-Glass.jpg,5,"rgb(89, 6, 4)","Through the Looking-Glass Lewis Carroll, Lewis Carroll, Lewis Lewis Carroll fantasy 1865 rgb(89, 6, 4)"
Wind in the Willows,"Kenneth Grahame, Michael Hague, John Burningham, David Roberts, Oxford Editor, Guo man, Yang Ma, Ernest H. Shepard, Charles Van Sandwyk, Katie Dicker",1908,fantasy,http://covers.openlibrary.org/b/id/13335427-L.jpg,book_covers\6_Wind_in_the_Willows.jpg,6,"rgb(51, 97, 32)","Wind in the Willows Kenneth Grahame, Michael Hague, John Burningham, David Roberts, Oxford Editor, Guo man, Yang Ma, Ernest H. Shepard, Charles Van Sandwyk, Katie Dicker fantasy 1908 rgb(51, 97, 32)"
Five Children and It,Edith Nesbit,1905,fantasy,http://covers.openlibrary.org/b/id/28174-L.jpg,book_covers\7_Five_Children_and_It.jpg,7,"rgb(180, 156, 144)","Five Children and It Edith Nesbit fantasy 1905 rgb(180, 156, 144)"
A Midsummer Night's Dream,William Shakespeare,1600,fantasy,http://covers.openlibrary.org/b/id/7205924-L.jpg,book_covers\8_A_Midsummer_Night's_Dream.jpg,8,"rgb(175, 154, 106)","A Midsummer Night's Dream William Shakespeare fantasy 1600 rgb(175, 154, 106)"
The Lost World,Arthur Conan Doyle,1900,fantasy,http://covers.openlibrary.org/b/id/8231444-L.jpg,book_covers\9_The_Lost_World.jpg,9,"rgb(70, 84, 101)","The Lost World Arthur Conan Doyle fantasy 1900 rgb(70, 84, 101)"
The Marvelous Land of Oz,L. Frank Baum,1904,fantasy,http://covers.openlibrary.org/b/id/12648656-L.jpg,book_covers\10_The_Marvelous_Land_of_Oz.jpg,10,"rgb(158, 64, 71)","The Marvelous Land of Oz L. Frank Baum fantasy 1904 rgb(158, 64, 71)"
Ozma of Oz,L. Frank Baum,1907,fantasy,http://covers.openlibrary.org/b/id/12648657-L.jpg,book_covers\11_Ozma_of_Oz.jpg,11,"rgb(179, 159, 149)","Ozma of Oz L. Frank Baum fantasy 1907 rgb(179, 159, 149)"
The Emerald City of Oz,L. Frank Baum,1910,fantasy,http://covers.openlibrary.org/b/id/1473556-L.jpg,book_covers\12_The_Emerald_City_of_Oz.jpg,12,"rgb(92, 81, 67)","The Emerald City of Oz L. Frank Baum fantasy 1910 rgb(92, 81, 67)"
Dorothy and the Wizard in Oz,L. Frank Baum,1908,fantasy,http://covers.openlibrary.org/b/id/12648659-L.jpg,book_covers\13_Dorothy_and_the_Wizard_in_Oz.jpg,13,"rgb(188, 163, 119)","Dorothy and the Wizard in Oz L. Frank Baum fantasy 1908 rgb(188, 163, 119)"
